event,percent,n_doublets,n_triplets,n_qplets,q,cpu_time,wall_time
1000,100,71136,67570,57007,865014,11373.234375,12449.2678116
1001,100,24398,23492,20631,166445,4601.515625,5716.9788346000005
1002,100,81172,77322,65425,1049686,11039.109375,11708.6665393
1003,100,43626,41533,35653,409763,7080.578125,8536.1312302
1004,100,115480,109498,91227,1901343,15787.359375,18002.279409000002
1005,100,47377,44795,38166,437033,9412.265625,102031.6789161
1006,100,70378,67323,57219,896734,12818.625,15054.749513599992
1007,100,51332,48670,41498,519117,10381.53125,12443.54195699998
1008,100,49605,47256,40509,492837,9761.84375,11311.283597900008
1009,100,48507,46042,39342,478055,9024.875,10390.06878989999
